RT,letter,number
-0.533093000008928,1,0
0.377127000000008,0,1
-0.332403000008955,1,0
0.402297000005958,0,1
0.395472000008944,0,1
0.372574000002991,0,1
-0.439933000005956,1,0
-0.340601000002993,1,0
0.336263000002975,0,1
-0.334151000000013,0,1
-0.37213100000596,1,0
0.36729500000595,1,0
0.328919000011927,0,1
0.444578000011912,0,1
-0.387428000008949,1,0
-0.376735000011919,1,0
-0.37026400000893,1,0
0.477535000002972,0,1
-0.34800400000895,0,1
-0.387545000008948,1,0
-0.466774000011908,1,0
0.345301000000007,0,1
0.395140000005951,0,1
-0.444260000000009,0,1
0.396935000002966,0,1
0.368063000005961,0,1
0.423420000002981,0,1
-0.404131000011927,1,0
0.389141000008938,1,0
-0.476632000000012,1,0
-0.492646000000008,1,0
-0.396840000002994,1,0
0.463953000005975,0,1
0.364657000002975,0,1
-0.354106000011932,1,0
0.381800000008952,1,0
0.379023000002984,0,1
-0.494389000005962,1,0
0.460646000008943,0,1
0.411181000011915,0,1
0.578280000008934,1,0
-0.423594000011915,1,0
0.432628000008932,0,1
-0.405350000002974,1,0
-0.406641999999993,1,0
-0.33160100000893,1,0
-0.323327000011923,1,0
0.349195000008942,0,1
0.392812000002974,0,1
-0.360096000005957,0,1
0.39176200001192,0,1
0.364740000005957,1,0
0.362280000008934,0,1
-0.369751000011922,1,0
0.403206999999995,0,1
0.376259000002989,0,1
0.419714999999997,1,0
0.542611000002973,0,1
-0.356399000005971,1,0
-0.32994600000896,1,0
0.42189100000594,0,1
-0.382837000008964,1,0
-0.458096000002988,1,0
0.320723999999987,1,0
0.39512300000299,0,1
0.373651000011945,0,1
-0.329021000000008,1,0
-0.356834000003,0,1
-0.426501999999979,1,0
0.423347000002977,0,1
0.424279000005976,0,1
-0.379164000008954,1,0
-0.400464000011911,1,0
-0.435654000008944,1,0
0.396392000011925,0,1
-0.397466000005952,0,1
-0.41474800000299,1,0
-0.445852000000014,1,0
0.428363000002981,0,1
-0.390914000011922,1,0
0.436206000000006,0,1
-0.377343999999983,1,0
0.396702000002959,0,1
0.463526000008918,0,1
-0.400185999999987,1,0
0.403202000008954,0,1
-0.376561000008951,1,0
0.361696999999986,0,1
-0.387283000005933,1,0
0.340311000005982,0,1
0.428137000002956,1,0
-0.38097400001192,1,0
-0.480435000008962,1,0
0.450831000011938,0,1
0.395545999999973,0,1
0.412722000002977,0,1
-0.365866000008944,1,0
-0.395314000002982,1,0
-0.410553000005952,0,1
0.393660000003001,0,1
-0.516683000011893,1,0
0.400877000008943,0,1
