RT,letter,number
-0.342130999713903,1,0
0.308337999999989,0,1
-0.331299999713898,1,0
-0.458164999999979,1,0
0.395227000095358,0,1
0.47866399999999,0,1
0.374857999809261,0,1
0.291077000095393,0,1
0.355678000000014,0,1
0.360441999904637,0,1
-0.42911299990461,1,0
0.375305999713892,0,1
-0.435609999904642,0,1
0,1,0
0.381353999999992,1,0
0.369633999713871,1,0
-0.333826000000001,1,0
-0.396135999713908,1,0
0.415587000095344,0,1
-0.402557999809273,1,0
-0.341518999999971,0,1
0,1,0
-0.459915000095381,1,0
0.39678599990462,0,1
-0.320315999713901,1,0
-0.43129399990465,0,1
0.401473999713897,0,1
0.348359999999986,0,1
0.321341999713914,0,1
0.312195999999996,1,0
-0.367169999713893,1,0
0.37936599999998,0,1
-0.391552999809268,1,0
0.419206999999995,1,0
-0.453399999809277,1,0
-0.262279000095383,0,1
-0.35980399990466,1,0
-0.436757000095386,1,0
-0.318300999904634,0,1
0.333154999713879,0,1
0.306805999904638,0,1
0,1,0
-0.362641999904648,1,0
0.463506999713893,0,1
-0.312273000095389,0,1
0.351266999809246,0,1
0.356093000095396,0,1
-0.393081999809248,1,0
-0.388601000095368,0,1
-0.480146999904653,1,0
-0.400336999713909,1,0
0,0,1
-0.355532999713905,1,0
-0.40050499990466,1,0
-0.379342999713903,1,0
0.439516999999993,0,1
-0.441166999713925,1,0
-0.442732000000018,1,0
-0.356221999809262,1,0
0.401125000095344,0,1
-0.356280000095372,1,0
0,0,1
0.409249999809253,0,1
0.340135000095353,0,1
0.370438999809267,0,1
-0.478642000095395,1,0
0.406818999904615,0,1
-0.377683999713918,1,0
0.357902999999991,1,0
-0.426865999904636,1,0
0.39692899990466,0,1
0.464532999809249,0,1
-0.393569000000018,1,0
-0.389413999809243,1,0
-0.345512999904633,1,0
-0.310843999904639,1,0
0,0,1
-0.470514999809267,1,0
0.446979000095394,0,1
-0.408604999809293,1,0
0.435387999713887,0,1
-0.445018999904627,1,0
0.454553999713913,0,1
-0.367418999999994,0,1
0.388390999713913,0,1
-0.424688999904611,1,0
0.394789999809291,0,1
-0.446423999999999,1,0
0.391960999809264,0,1
0.403565000000002,0,1
0.462548999713908,0,1
-0.439430999999982,1,0
0,1,0
0,0,1
-0.401363999904657,1,0
0.228332000095339,0,1
-0.295201999904646,1,0
0.279401999713911,0,1
-0.288368999904604,0,1
0,1,0
-0.336767999999982,1,0
0.446309999809251,0,1
-0.399842000095348,1,0
-0.355475999809278,0,1
0.472341000095359,0,1
-0.400577999809291,1,0
-0.37151300009538,1,0
0.375687999904621,0,1
0.348008000095375,0,1
0.328876999904634,0,1
0,1,0
-0.415951000000001,1,0
-0.306915999713878,0,1
0.433883999904618,0,1
