RT,letter,number
-0.374199999999997,1,0
-0.406899999904635,1,0
-0.343099999856946,1,0
-0.345300000000003,0,1
-0.436100000047678,1,0
-0.479999999904627,1,0
0.43969999995231,0,1
0.36619999995231,0,1
0.330400000047681,0,1
0.376100000047678,1,0
-0.481599999856946,0,1
0,0,1
0.3495,0,1
0.3785,0,1
-0.38179999990463,1,0
-0.401699999856952,0,1
-0.46309999985696,1,0
-0.471299999856943,1,0
0,1,0
-0.318000000047672,0,1
-0.380699999856937,0,1
0.368200000047684,0,1
-0.406799999904644,1,0
0.350799999952316,0,1
-0.366399999952322,1,0
0.394399999999994,1,0
-0.459100000047678,1,0
-0.37680000004769,1,0
-0.46619999995231,1,0
-0.36230000004769,1,0
0.366799999856943,0,1
0.418999999952328,0,1
-0.351600000047678,1,0
0.380999999856955,0,1
0.39259999985696,0,1
0.432900000047695,0,1
-0.338499999952328,1,0
0.394399999999994,0,1
-0.4355,0,1
0.399,0,1
0.44219999995231,1,0
-0.480799999856943,1,0
-0.336299999999988,1,0
-0.336899999856949,1,0
-0.424499999952328,0,1
-0.423499999904627,1,0
0.350799999952316,0,1
-0.374299999952316,1,0
-0.343400000047695,1,0
0.370000000047672,0,1
0.472699999904638,0,1
-0.451499999952328,1,0
0,0,1
0.387899999999994,0,1
0.321099999904633,0,1
0.418199999856937,1,0
-0.463399999952322,1,0
-0.374900000047695,0,1
0.45619999995231,0,1
-0.485999999952328,1,0
0.359899999952322,0,1
0.345599999904633,0,1
0.399099999904633,0,1
-0.44169999995231,1,0
0,1,0
-0.372699999856937,0,1
-0.357799999856943,1,0
-0.335600000047678,1,0
0.38380000004769,0,1
-0.419599999952305,1,0
0.384200000047684,0,1
-0.342299999952316,1,0
-0.406400000047695,1,0
-0.382099999904633,1,0
0.409900000047695,0,1
-0.401899999952322,1,0
0.375100000047678,0,1
-0.352299999904644,1,0
0.375999999952328,0,1
0,0,1
-0.39759999985696,1,0
0.424400000047695,1,0
-0.455799999999988,0,1
-0.418600000000006,1,0
0.431699999856937,0,1
0.392799999856972,0,1
-0.489799999856972,1,0
-0.382500000047672,1,0
0.393299999856972,0,1
-0.419100000047707,0,1
0,1,0
-0.483299999856972,1,0
0.46719999995234,0,1
0.429,0,1
-0.486599999904633,1,0
-0.376799999952316,1,0
0.474000000047672,0,1
-0.414999999952328,1,0
-0.409099999999977,1,0
0.473100000047707,0,1
0,0,1
0.418599999952305,0,1
0.358999999904656,0,1
0,0,1
-0.470099999952305,1,0
0.392099999952305,0,1
0,1,0
-0.380799999999988,1,0
-0.480400000000023,1,0
0.416099999952305,0,1
-0.450099999999977,1,0
-0.395200000047684,1,0
0.358,1,0
0.407899999904621,0,1
-0.359999999952328,1,0
0.33780000004766,0,1
-0.393799999999988,1,0
0.410299999999988,0,1
0.42630000004766,0,1
0.385199999856937,0,1
0.399499999904656,0,1
0.362299999999988,0,1
0,1,0
-0.491099999904633,0,1
-0.359500000047672,1,0
-0.433500000047672,1,0
0.39519999995234,0,1
-0.302000000047672,1,0
-0.487600000047707,1,0
0.353500000047672,1,0
-0.400899999904621,1,0
0.358200000000012,0,1
-0.36830000004766,1,0
-0.383299999856972,1,0
0.426700000047684,0,1
0.482099999856961,0,1
0.385200000000012,0,1
-0.367500000047672,1,0
0.438099999904633,0,1
-0.378299999952316,0,1
-0.349900000047695,0,1
-0.378799999999988,1,0
-0.342600000047707,1,0
0.441399999952293,0,1
0.3595,0,1
0.393999999904656,0,1
-0.346100000047707,1,0
-0.399099999904633,1,0
-0.354400000000023,1,0
-0.35369999995234,1,0
0.337499999904656,0,1
0.40130000004766,0,1
0.326799999952316,1,0
0,0,1
0,1,0
0.426700000047684,0,1
0.337999999856926,0,1
0.361899999904621,1,0
0,1,0
0.394600000047707,0,1
0.419700000047684,0,1
-0.343900000047695,1,0
-0.330499999904656,1,0
0.352199999904609,0,1
-0.33630000004766,1,0
0.352000000047672,0,1
-0.423099999856961,1,0
0.390999999904656,0,1
-0.431299999856972,1,0
-0.464600000047707,1,0
-0.392900000047695,1,0
0.385400000047695,0,1
-0.383700000000012,1,0
0.485399999904621,0,1
0.39909999985696,0,1
0.410399999904621,0,1
0.45030000004766,0,1
0.36319999995234,0,1
-0.399499999952328,1,0
-0.394200000000012,1,0
0.483500000047672,0,1
-0.370599999952305,1,0
0,1,0
-0.389299999856972,1,0
0,1,0
-0.346500000047672,0,1
0.375299999999988,0,1
0.384999999856926,0,1
-0.463199999904609,1,0
-0.438700000000012,0,1
0.395199999856937,0,1
0.365999999952328,0,1
0.37030000004766,1,0
-0.47319999995234,1,0
0,0,1
-0.362299999904644,1,0
0.326700000000012,0,1
-0.336200000047684,1,0
-0.384299999904644,0,1
0.437899999904621,0,1
0.434000000047672,0,1
-0.373799999999988,0,1
0.4475,1,0
0.424299999856972,1,0
0.367200000047684,0,1
0.446000000047672,1,0
0.415200000000012,0,1
-0.417299999856972,1,0
0.429900000047695,1,0
-0.391400000047695,1,0
-0.375999999952328,1,0
0.393599999904633,0,1
-0.369599999904633,1,0
-0.368799999999988,0,1
0.391099999999977,0,1
-0.471599999999977,1,0
0.423399999904679,0,1
-0.422400000000023,1,0
-0.387499999856926,1,0
-0.361199999999953,1,0
0.395299999904586,0,1
0.358499999856926,0,1
0,0,1
0.364799999856972,0,1
0.368799999904586,1,0
-0.383399999856949,1,0
0.355599999856902,1,0
0.490999999856926,0,1
0.391099999904633,0,1
0.455599999904633,0,1
-0.362699999856995,1,0
0.375399999952293,0,1
-0.416600000047707,1,0
0.370999999856926,1,0
-0.385400000000023,0,1
-0.375599999999977,1,0
0.400799999904586,0,1
0.44680000004766,0,1
-0.423,1,0
0,1,0
0.378599999904633,0,1
-0.374399999952293,1,0
0,0,1
-0.38000000004773,1,0
0.391600000047707,0,1
-0.384100000047707,1,0
0.334099999904633,0,1
-0.319199999999953,1,0
0,1,0
-0.473,1,0
0.406299999952316,0,1
-0.477899999904679,0,1
0.450999999904656,0,1
-0.446599999856902,1,0
0.431399999952293,0,1
-0.36899999995227,1,0
-0.471799999952316,1,0
0.386399999952293,0,1
0.392399999952293,0,1
0.464699999999953,0,1
-0.416800000000047,1,0
0.47530000004766,0,1
0.48049999995227,0,1
-0.399599999999977,1,0
-0.44280000004766,1,0
0,0,1
0.477400000000023,0,1
-0.410600000047707,1,0
0,1,0
-0.390899999952293,1,0
-0.375199999904609,1,0
0.344599999952363,0,1
0.37919999995234,0,1
0.382499999856926,0,1
-0.370300000000047,1,0
-0.377399999856949,1,0
-0.418599999952363,0,1
-0.398899999856949,1,0
-0.417999999904656,1,0
0.414499999856926,0,1
0.456799999856972,0,1
0.390999999856926,0,1
-0.399400000047637,1,0
0.402999999856926,0,1
-0.37580000004766,1,0
0.400699999856995,0,1
-0.36630000004766,1,0
-0.450799999952316,1,0
0.405800000000047,0,1
-0.371199999999953,1,0
-0.394,1,0
0.378599999904633,0,1
-0.350199999999953,1,0
0.42180000004766,0,1
-0.386600000047707,1,0
0.424600000047707,0,1
-0.345200000047684,1,0
-0.388499999856926,1,0
0.354799999904586,0,1
0.45850000004773,0,1
-0.408099999904633,1,0
0,0,1
-0.436299999904586,0,1
0,0,1
0.4205,1,0
-0.465299999904586,1,0
0.377499999904656,0,1
-0.442699999904609,1,0
0.345099999999977,1,0
-0.382199999904609,1,0
-0.473599999856902,1,0
-0.431099999952363,1,0
-0.472599999952363,1,0
0.41969999995234,0,1
0.40799999995227,0,1
0.415499999904656,0,1
0.401699999999953,0,1
0.35930000004766,0,1
0.369099999904633,0,1
-0.448099999952363,1,0
0,0,1
-0.428899999856949,1,0
-0.38280000004766,1,0
-0.35769999995234,0,1
0.399400000000023,0,1
-0.434199999856995,1,0
0.390399999904679,0,1
0.343399999904679,0,1
-0.361799999952316,1,0
-0.382099999952363,1,0
-0.36169999995234,0,1
-0.389799999856972,1,0
0.350400000000023,0,1
-0.341800000000047,0,1
-0.406,1,0
-0.453800000000047,1,0
0.377499999856926,0,1
-0.418400000000023,1,0
0.391099999999977,0,1
-0.487699999904609,1,0
0.321899999856949,0,1
-0.37869999995234,1,0
0.334,0,1
0.382299999904586,0,1
0.39369999995234,0,1
0.410400000000023,0,1
-0.450399999904679,1,0
0.419499999856926,0,1
0.471799999904586,0,1
-0.410499999904656,1,0
-0.426199999999953,1,0
-0.473299999856972,1,0
-0.406599999952363,1,0
-0.414299999904586,1,0
-0.456399999856949,1,0
-0.39050000004773,1,0
0.358899999904679,0,1
0.400799999904586,0,1
-0.40630000004766,1,0
0.373900000000023,0,1
-0.439400000047637,1,0
-0.435599999856902,1,0
0.359299999904586,0,1
-0.384999999856926,1,0
-0.423199999999953,0,1
0.470300000000047,0,1
0.440899999856949,0,1
0.463399999904679,0,1
0,1,0
0.42019999995234,0,1
0.384599999999977,1,0
0.422799999904586,1,0
-0.486199999856995,1,0
0.383599999856902,0,1
-0.363400000000023,1,0
-0.391900000047637,0,1
0.37599999995227,0,1
-0.337599999904633,1,0
-0.489399999952293,1,0
0,1,0
-0.447999999904656,1,0
0.360899999904679,0,1
-0.387599999856902,1,0
0.458099999952363,0,1
0.438799999952316,0,1
0.386399999856949,1,0
-0.34480000004766,1,0
-0.445499999856926,1,0
0.398599999904633,0,1
-0.353899999856949,1,0
0.377200000047684,0,1
-0.38650000004773,0,1
0.44850000004773,0,1
-0.401299999904586,0,1
0.406299999952316,0,1
-0.391100000047707,1,0
-0.454799999856972,1,0
-0.44250000004773,1,0
-0.353099999856902,0,1
-0.344399999952293,1,0
-0.354699999856995,0,1
-0.442300000000047,0,1
0.424799999904586,0,1
0.447900000000023,0,1
-0.352900000047637,1,0
0.36849999995227,0,1
0.351099999904633,0,1
-0.374700000047684,1,0
0.367599999856902,0,1
-0.350399999952293,1,0
0.411399999856949,1,0
-0.469899999904679,0,1
-0.440299999952316,1,0
-0.423100000047707,1,0
-0.358100000047707,1,0
0.423999999904656,0,1
-0.382999999856926,0,1
-0.482599999856902,1,0
-0.42649999995227,1,0
0.401899999904679,0,1
-0.447099999856902,1,0
-0.391499999856926,1,0
-0.456099999999977,1,0
-0.43019999995234,1,0
0.391299999856972,0,1
0.392299999856972,0,1
0.3855,0,1
0.358599999999977,0,1
-0.384599999904633,0,1
0.463199999904609,0,1
-0.455400000047637,1,0
-0.434200000047684,1,0
