RT,letter,number
-0.587,1,0
0.382,0,1
-0.408,1,0
0.412,0,1
0.415,0,1
-0.371,1,0
0.476,0,1
0.489,0,1
0.468,0,1
0.49,1,0
0.44,1,0
0.381,1,0
0.361,0,1
0.432,1,0
0.486,0,1
-0.348,1,0
-0.408000000000015,1,0
0.507,0,1
0.472,1,0
0.458,0,1
-0.314000000000015,0,1
0.52,0,1
-0.31,0,1
-0.498,1,0
0.397,0,1
-0.37,1,0
0.489000000000015,0,1
-0.463,1,0
0.502000000000015,0,1
0.444,1,0
-0.387,0,1
-0.589,1,0
-0.409,1,0
-0.501,1,0
-0.389000000000029,1,0
0.330000000000029,0,1
-0.314,0,1
-0.454,1,0
0.436,0,1
0.566,1,0
-0.322,1,0
0.378,0,1
-0.427,1,0
-0.293,1,0
0.435,0,1
0.537,0,1
-0.383,1,0
0.536,0,1
0.436,1,0
-0.222,1,0
-0.329,0,1
0.262,0,1
-0.49,1,0
0.531,0,1
-0.542,1,0
-0.47,1,0
0.405,0,1
-0.317000000000029,1,0
-0.477,1,0
0.306,0,1
-0.469,1,0
-0.427000000000029,0,1
0.478,0,1
-0.366,1,0
-0.396,1,0
0.414,0,1
0.441,0,1
-0.342000000000029,1,0
-0.477,0,1
-0.429,1,0
-0.481,1,0
-0.397,1,0
-0.468000000000029,0,1
-0.49,1,0
0.446,0,1
0.492,1,0
0.521,0,1
0.494,0,1
0.396,0,1
0.401,0,1
0.424,0,1
-0.463,1,0
0.469,0,1
0.475,0,1
0.517999999999971,0,1
-0.572,1,0
0.479,0,1
0.368,0,1
0.453,1,0
-0.524,1,0
0.415,1,0
-0.418000000000058,1,0
-0.429,1,0
-0.463,1,0
-0.453,1,0
-0.472,1,0
-0.398,1,0
-0.391,1,0
0.431,0,1
-0.436,1,0
0.529,0,1
-0.549,1,0
0.532,0,1
0.347,0,1
0.375,0,1
-0.443,1,0
-0.389,0,1
0.377,1,0
0.377,1,0
0.481,0,1
0.478,0,1
-0.556,0,1
-0.519,1,0
-0.238,1,0
-0.382000000000058,1,0
-0.401,1,0
-0.348,1,0
-0.368,0,1
-0.487,1,0
-0.57,1,0
0.566,0,1
0.287,0,1
0.351000000000058,1,0
0.418,0,1
0.409,0,1
0.401,0,1
0.531,0,1
0.429,1,0
0.508,0,1
0.362,0,1
0.357,0,1
-0.464,1,0
0.454000000000058,0,1
0.437,0,1
-0.556,1,0
0.443,0,1
-0.503,1,0
-0.445,1,0
0.474,0,1
0.511,0,1
-0.315,1,0
-0.245,1,0
-0.256,0,1
0.382,0,1
-0.324000000000058,0,1
-0.322,1,0
-0.264,0,1
-0.246,0,1
-0.43,1,0
-0.263000000000058,0,1
0.245000000000058,1,0
0.267,1,0
0.284,1,0
0.29,0,1
-0.239,1,0
-0.448,1,0
0.355,0,1
-0.307,0,1
0.369,0,1
