RT,letter,number
-0.370380000000005,1,0
-0.391839999999997,1,0
0.380700000000012,0,1
-0.451040000000008,1,0
-0.420799999999988,1,0
-0.335859999999986,1,0
0.359839999999996,0,1
0.445119999999995,0,1
-0.328140000000014,0,1
-0.281619999999995,1,0
0.299739999999991,0,1
0.358140000000014,1,0
0.372440000000002,0,1
0,0,1
0.331859999999986,0,1
-0.331720000000001,0,1
-0.306779999999999,1,0
0.348260000000009,1,0
-0.426559999999998,0,1
0,1,0
-0.375899999999994,0,1
0.42948000000001,1,0
0,1,0
-0.37101999999999,1,0
-0.328440000000002,1,0
-0.322299999999988,1,0
-0.328380000000005,0,1
0.337179999999993,0,1
-0.360440000000002,1,0
0.43001999999999,0,1
0.377679999999993,0,1
0.382859999999986,0,1
0.396700000000012,0,1
0.352100000000006,0,1
0.303679999999993,1,0
0,1,0
-0.425760000000009,1,0
0,0,1
-0.343380000000005,0,1
0.389200000000012,0,1
-0.467320000000007,1,0
0.428299999999988,0,1
0.425,1,0
0.475660000000003,0,1
-0.341320000000007,1,0
0.452619999999995,0,1
0,1,0
-0.407320000000007,1,0
0.419779999999999,0,1
-0.464220000000001,0,1
-0.3855,1,0
-0.359660000000003,1,0
0.365219999999972,1,0
-0.466940000000002,0,1
-0.397559999999998,1,0
0.409599999999977,0,1
0.380780000000028,0,1
0,0,1
0.419520000000019,0,1
0.343159999999974,0,1
0.335460000000021,1,0
-0.334739999999991,1,0
-0.318359999999986,1,0
-0.340799999999988,1,0
-0.268979999999981,1,0
-0.304760000000009,0,1
0.351700000000012,0,1
0.335020000000019,0,1
-0.373840000000026,1,0
-0.323140000000014,1,0
0.46,0,1
0,1,0
-0.352580000000016,1,0
0.415080000000016,0,1
-0.347520000000019,1,0
-0.312679999999993,1,0
-0.3225,1,0
-0.353659999999974,1,0
0.384219999999972,0,1
-0.452859999999986,1,0
0,0,1
-0.385080000000016,1,0
-0.365039999999979,0,1
0,0,1
0.462159999999974,0,1
-0.368219999999972,0,1
-0.349200000000012,1,0
0,0,1
0.333900000000023,0,1
0.355520000000019,1,0
0.425820000000007,0,1
0.350520000000019,0,1
0.349140000000014,0,1
0.363539999999979,0,1
-0.330119999999995,1,0
-0.297119999999995,1,0
-0.418719999999972,1,0
0.398419999999984,0,1
0.394940000000002,0,1
-0.480520000000019,1,0
-0.346020000000019,0,1
-0.368900000000023,1,0
0,1,0
0.417260000000009,0,1
-0.443900000000023,1,0
-0.287299999999988,0,1
0,1,0
0.386659999999974,1,0
0.318940000000002,0,1
0,1,0
-0.416059999999998,1,0
0.475599999999977,0,1
0.381900000000023,0,1
0.346299999999988,0,1
0.4495,1,0
0,0,1
0,1,0
0.399979999999981,0,1
-0.427960000000021,1,0
-0.334559999999998,1,0
-0.342859999999986,1,0
-0.382159999999974,1,0
-0.388020000000019,0,1
0.424179999999993,0,1
-0.451820000000007,1,0
0.421059999999998,0,1
0,0,1
-0.403,1,0
-0.311780000000028,0,1
-0.360039999999979,1,0
-0.286619999999995,1,0
-0.337200000000012,0,1
0.335679999999993,0,1
0.286979999999981,0,1
0,1,0
-0.419,1,0
-0.358880000000005,1,0
0,1,0
-0.391179999999993,1,0
-0.315340000000026,0,1
0.411880000000005,0,1
0.328460000000021,0,1
-0.343799999999988,1,0
0,0,1
0.455539999999979,0,1
0,1,0
-0.460020000000019,1,0
0,0,1
-0.3435,0,1
-0.430979999999981,1,0
-0.474760000000009,1,0
-0.386400000000023,0,1
-0.456719999999972,1,0
0.369559999999998,0,1
0.296419999999984,0,1
0.387320000000007,0,1
0,1,0
-0.361039999999979,1,0
-0.342440000000002,1,0
-0.366739999999991,0,1
0.404559999999998,0,1
0.288,1,0
0,0,1
-0.267919999999984,1,0
-0.432,0,1
0.362700000000012,0,1
0,1,0
0.411140000000014,0,1
0,0,1
0.369520000000019,0,1
0.328280000000028,0,1
0.302239999999991,1,0
0,1,0
-0.439820000000007,1,0
0,0,1
0.389039999999979,1,0
0.442919999999984,1,0
0,1,0
-0.367359999999986,1,0
-0.299799999999988,0,1
0.310359999999986,0,1
0,1,0
0.385460000000021,0,1
0,1,0
-0.438760000000009,1,0
0,0,1
0,1,0
0,0,1
0,0,1
0.447599999999977,1,0
0,1,0
0,1,0
0,0,1
0,0,1
-0.348400000000023,1,0
0.435780000000028,0,1
-0.446680000000051,1,0
-0.305020000000019,0,1
0.329400000000023,0,1
-0.354020000000019,1,0
0.416640000000014,0,1
0,1,0
-0.413819999999949,0,1
-0.410199999999953,1,0
0.350060000000056,0,1
-0.340520000000019,1,0
0.260420000000042,0,1
-0.36,1,0
0.326479999999981,0,1
-0.351339999999967,0,1
-0.331819999999949,1,0
-0.323099999999977,1,0
-0.299540000000037,1,0
-0.293140000000014,0,1
-0.448280000000028,1,0
0.297680000000051,0,1
-0.273979999999981,1,0
0.316660000000033,0,1
-0.341599999999977,1,0
-0.292,1,0
-0.262979999999981,1,0
-0.369619999999995,1,0
-0.264020000000019,1,0
-0.418959999999963,1,0
-0.320339999999967,1,0
-0.270280000000028,0,1
0.290400000000023,0,1
0.291579999999958,0,1
0.327160000000033,0,1
0.285579999999958,0,1
0.353140000000014,0,1
0.255099999999977,0,1
0.290739999999991,0,1
0.268920000000042,1,0
-0.384300000000047,1,0
-0.356540000000037,1,0
0,0,1
0.380839999999967,0,1
0.314599999999977,1,0
-0.420160000000033,1,0
0.382839999999967,0,1
0.346979999999981,0,1
0.314479999999981,0,1
0.291199999999953,0,1
-0.421180000000051,1,0
-0.312819999999949,1,0
-0.288599999999977,0,1
0.266579999999958,0,1
0,1,0
-0.431760000000009,1,0
-0.323540000000037,0,1
-0.442520000000019,1,0
-0.304520000000019,1,0
-0.303479999999981,0,1
0.329060000000056,1,0
0.392420000000042,0,1
0.310219999999972,0,1
0.295280000000028,0,1
-0.407959999999963,1,0
-0.429819999999949,1,0
0,0,1
0,0,1
-0.330859999999986,1,0
-0.386839999999967,1,0
0.328979999999981,0,1
0.407780000000028,0,1
0.309719999999972,1,0
0.253800000000047,0,1
0.186020000000019,1,0
0.297560000000056,0,1
0.289619999999995,1,0
-0.340780000000028,1,0
-0.316160000000033,1,0
0.442959999999963,0,1
0.343660000000033,0,1
0.381300000000047,0,1
-0.339680000000051,1,0
-0.356199999999953,1,0
0,1,0
-0.283260000000009,0,1
0.301520000000019,1,0
0.297099999999977,0,1
0.265260000000009,0,1
0.270640000000014,0,1
0.409420000000042,1,0
0,0,1
-0.367079999999958,1,0
-0.332540000000037,1,0
-0.222939999999944,1,0
0.427280000000028,0,1
0.286939999999944,0,1
0.232680000000051,1,0
0.357760000000009,0,1
-0.292300000000047,1,0
0.334739999999991,0,1
0,1,0
0.359060000000056,0,1
-0.446660000000033,1,0
0.353640000000014,0,1
-0.327959999999963,0,1
0.368,0,1
0.261459999999963,0,1
0,1,0
0.281800000000047,1,0
0,0,1
-0.343060000000056,1,0
-0.303280000000028,0,1
0.343900000000023,0,1
-0.413260000000009,1,0
0,1,0
0.298300000000047,0,1
-0.372640000000014,1,0
0.354140000000014,0,1
0.216699999999953,1,0
0.214939999999944,1,0
0.324219999999972,0,1
0,1,0
0.366579999999958,0,1
0.467699999999953,0,1
-0.342900000000023,1,0
0.372,0,1
-0.475880000000005,1,0
0.267439999999944,0,1
0.311880000000005,1,0
-0.424699999999953,1,0
-0.395359999999986,0,1
0,0,1
-0.402420000000042,1,0
0.358560000000056,1,0
0.366060000000056,0,1
-0.348020000000019,0,1
-0.435219999999972,0,1
-0.302699999999953,1,0
-0.3025,1,0
-0.343699999999953,0,1
0.373979999999981,1,0
-0.403599999999977,1,0
0,0,1
-0.377819999999949,1,0
0,0,1
-0.450260000000009,1,0
0.410760000000009,0,1
-0.296319999999949,0,1
-0.417900000000023,1,0
-0.397660000000033,0,1
0,0,1
0,0,1
-0.325979999999981,1,0
-0.335,1,0
0,1,0
-0.310660000000033,1,0
0,0,1
-0.352900000000023,1,0
-0.319400000000023,0,1
-0.470199999999953,1,0
0.344160000000033,0,1
0.216979999999981,0,1
0.301060000000056,1,0
-0.366939999999944,0,1
0,0,1
0.399060000000056,0,1
0.291260000000009,0,1
0.268479999999981,0,1
0.248359999999986,1,0
-0.460479999999981,1,0
0,0,1
0,1,0
0.322040000000037,0,1
0.410420000000042,0,1
0.422839999999967,0,1
0.329420000000042,1,0
0.329180000000051,1,0
-0.440800000000047,1,0
-0.3325,1,0
-0.252859999999986,1,0
-0.262900000000023,1,0
-0.283339999999967,1,0
0,1,0
0.404819999999949,0,1
0,0,1
-0.434780000000028,1,0
0,0,1
0.415160000000033,0,1
-0.442640000000014,1,0
0,0,1
-0.383819999999949,1,0
0,1,0
-0.310560000000056,1,0
-0.286260000000009,0,1
0,1,0
0.410020000000019,0,1
0.326479999999981,0,1
0.334199999999953,0,1
0,1,0
0,1,0
0,0,1
0.358699999999953,0,1
-0.477319999999949,0,1
-0.454959999999963,1,0
0.329020000000019,0,1
0.169079999999958,1,0
-0.368,0,1
-0.356859999999986,1,0
-0.3085,0,1
-0.429979999999981,1,0
0,1,0
-0.433239999999991,1,0
0.309140000000014,0,1
0.358339999999967,0,1
0,1,0
0,0,1
0,1,0
-0.285959999999963,1,0
-0.272719999999972,0,1
0.2265,0,1
0.264560000000056,1,0
0.347199999999953,0,1
0.330380000000005,0,1
0.313699999999953,0,1
0.283280000000028,0,1
0,0,1
0,1,0
-0.335160000000033,1,0
-0.247300000000047,1,0
-0.234680000000051,0,1
-0.424619999999995,1,0
-0.211300000000047,1,0
-0.346040000000037,1,0
0.481140000000014,0,1
-0.434520000000019,1,0
