RT,letter,number
0.35698000000001,0,1
-0.386200000000012,0,1
0.3575,0,1
0.345440000000002,0,1
0.339220000000001,1,0
-0.341200000000012,1,0
0.41051999999999,1,0
0.394859999999986,1,0
0.455100000000006,0,1
-0.373679999999993,1,0
0.33551999999999,1,0
0.475700000000012,0,1
0.363200000000012,0,1
-0.340119999999995,1,0
0.470679999999993,0,1
-0.419679999999993,1,0
0.415679999999993,1,0
0,0,1
0.313160000000003,0,1
0.368160000000003,0,1
-0.27401999999999,1,0
-0.371200000000012,1,0
-0.243079999999987,1,0
0.444679999999993,0,1
0.373420000000013,0,1
-0.365799999999988,1,0
0.421420000000013,0,1
-0.466820000000007,1,0
0.339399999999994,0,1
0,1,0
0.469260000000009,0,1
-0.257820000000007,0,1
-0.428820000000007,1,0
0.3645,0,1
-0.45448000000001,1,0
0.285399999999994,1,0
0,0,1
0,0,1
-0.347820000000007,1,0
0,1,0
-0.484540000000008,0,1
-0.395880000000005,0,1
-0.451320000000007,1,0
0,1,0
-0.325399999999994,1,0
-0.396739999999991,0,1
0.39248000000001,0,1
0.374140000000014,0,1
-0.424459999999992,1,0
0.344579999999987,0,1
-0.337059999999998,1,0
0.363739999999991,1,0
0.376720000000001,0,1
-0.402119999999995,1,0
0.473719999999972,0,1
-0.450760000000009,0,1
-0.353119999999995,0,1
0.373619999999995,0,1
0.395780000000028,0,1
0.448340000000026,0,1
0,1,0
0,1,0
0.361119999999995,0,1
-0.417320000000007,1,0
0.438440000000002,0,1
-0.283440000000002,1,0
-0.355599999999977,1,0
0.393200000000012,0,1
-0.405780000000028,1,0
0,1,0
-0.447719999999972,1,0
0,1,0
0.391380000000005,0,1
0,0,1
0.387760000000009,0,1
0.355400000000023,0,1
-0.351700000000012,0,1
0.229039999999979,1,0
-0.356520000000019,1,0
0.383059999999998,0,1
0.353280000000028,1,0
0.335039999999979,1,0
0.367580000000016,0,1
-0.469440000000002,1,0
-0.385719999999972,1,0
-0.355760000000009,1,0
-0.366419999999984,1,0
-0.351179999999993,0,1
-0.3265,1,0
0.488760000000009,0,1
-0.397599999999977,1,0
-0.420820000000007,1,0
0.385539999999979,0,1
0.356919999999984,0,1
-0.443739999999991,1,0
0,0,1
-0.413440000000002,0,1
0,0,1
-0.376099999999977,1,0
-0.372739999999991,1,0
0.451659999999974,0,1
-0.344780000000028,1,0
0,0,1
0.356080000000016,0,1
0.462739999999991,1,0
0,0,1
0,1,0
0,1,0
-0.304359999999986,1,0
-0.365880000000005,0,1
0,1,0
0,0,1
0.432840000000026,0,1
0,0,1
-0.488179999999993,1,0
0.428820000000007,1,0
0.464020000000019,0,1
0.298,1,0
0.323780000000028,0,1
-0.363239999999991,1,0
0,0,1
0.417059999999998,0,1
-0.344619999999995,1,0
0.362400000000023,1,0
-0.362460000000021,1,0
0.352059999999998,0,1
0,0,1
-0.442400000000023,1,0
-0.434900000000023,1,0
-0.370299999999988,1,0
0.338780000000028,0,1
-0.212400000000023,1,0
0.277719999999972,1,0
0.430479999999981,0,1
-0.476059999999998,1,0
-0.322020000000019,0,1
0.465140000000014,0,1
0.307479999999981,0,1
0.371140000000014,0,1
-0.394219999999972,1,0
-0.413719999999972,1,0
0.307280000000028,1,0
0.204940000000002,0,1
0.364900000000023,0,1
0.378179999999993,0,1
-0.401700000000012,1,0
-0.403840000000026,1,0
-0.353659999999974,0,1
-0.384359999999986,1,0
-0.355840000000026,1,0
0.487039999999979,0,1
-0.333200000000012,1,0
0.330380000000005,1,0
-0.408219999999972,1,0
0.297359999999986,0,1
-0.249140000000014,1,0
-0.380679999999993,1,0
0.417080000000016,0,1
0.342859999999986,0,1
-0.278,0,1
-0.403820000000007,1,0
0.393559999999998,0,1
0,1,0
0.356799999999988,0,1
0,0,1
0,1,0
-0.351739999999991,0,1
-0.439440000000002,1,0
0.407200000000012,0,1
0.353020000000019,1,0
0.283380000000005,0,1
-0.307859999999986,1,0
-0.433799999999988,0,1
0,1,0
0,0,1
-0.485440000000002,1,0
0.344599999999977,0,1
0.354179999999993,1,0
0.401679999999993,0,1
-0.436520000000019,1,0
0.402599999999977,0,1
-0.143840000000026,0,1
0.384619999999995,0,1
0.371,1,0
-0.382700000000012,1,0
-0.422520000000019,1,0
0.353739999999991,0,1
-0.455340000000026,1,0
-0.382840000000026,0,1
0,1,0
0,1,0
0.299400000000023,0,1
-0.172660000000033,1,0
-0.285739999999991,0,1
0,0,1
0.185760000000009,1,0
0.227079999999958,0,1
0.306739999999991,0,1
0.330319999999949,1,0
-0.354439999999944,0,1
-0.294800000000047,1,0
0.367579999999958,0,1
0,1,0
-0.448319999999949,1,0
0.359579999999958,0,1
-0.236819999999949,0,1
0.410979999999981,0,1
-0.457859999999986,1,0
-0.3545,1,0
0.355979999999981,1,0
0.432979999999981,0,1
-0.303420000000042,1,0
-0.302959999999963,1,0
-0.198119999999995,0,1
-0.154680000000051,1,0
0.2135,1,0
0.212319999999949,0,1
-0.147739999999991,1,0
-0.251459999999963,0,1
0.327040000000037,0,1
0.316619999999995,0,1
-0.277680000000051,1,0
0.299180000000051,0,1
-0.349359999999986,1,0
0.307619999999995,0,1
0.344859999999986,1,0
-0.331800000000047,0,1
0.196319999999949,1,0
0.221640000000014,0,1
0.322680000000051,1,0
0.477380000000005,0,1
-0.367280000000028,1,0
-0.207119999999995,0,1
0.343439999999944,0,1
-0.331859999999986,1,0
0.468280000000028,0,1
-0.331540000000037,0,1
0.369520000000019,0,1
-0.269060000000056,1,0
0.322319999999949,0,1
-0.345239999999991,1,0
0.237939999999944,1,0
0.239060000000056,0,1
-0.242020000000019,1,0
-0.364939999999944,1,0
-0.335599999999977,0,1
-0.454420000000042,1,0
-0.327760000000009,1,0
0.321800000000047,0,1
0.320699999999953,0,1
-0.321079999999958,0,1
