RT,letter,number
0.352,0,1
-0.366,1,0
0.437,0,1
-0.387,1,0
0.497,0,1
0.368,0,1
0.385,1,0
-0.467,1,0
0.456,0,1
-0.347,1,0
0.457,0,1
-0.381,1,0
0.392,0,1
-0.346,1,0
-0.344,1,0
0.406,0,1
0.442,0,1
-0.375,1,0
-0.405,1,0
-0.341000000000029,1,0
0.482,0,1
0.451,0,1
0.483,0,1
-0.443,1,0
0,0,1
0.477,0,1
0.39,0,1
-0.359,1,0
-0.370000000000029,1,0
-0.337000000000029,1,0
0.47,0,1
0.442,0,1
-0.495,1,0
-0.423,1,0
0,0,1
-0.400000000000029,1,0
-0.363000000000029,1,0
0.404000000000029,0,1
-0.473,1,0
-0.393,0,1
0.47,0,1
-0.483,1,0
0,1,0
-0.484,1,0
0,0,1
0.468,0,1
0.465,0,1
0.425,0,1
0.394000000000058,0,1
-0.354,1,0
-0.362,1,0
0.41,0,1
-0.398,1,0
0,1,0
0.455,0,1
0.389,0,1
-0.483000000000058,1,0
0.443,0,1
-0.456,1,0
-0.336,1,0
0.424,0,1
-0.464,1,0
-0.479,1,0
0,0,1
-0.495,1,0
0.379,0,1
0.483000000000058,0,1
-0.495,1,0
0,1,0
0,0,1
-0.335,0,1
-0.399,1,0
-0.439,1,0
0.438,0,1
-0.353,1,0
0.396,0,1
-0.483,1,0
-0.368,1,0
0.375000000000058,0,1
-0.391,0,1
-0.449,1,0
-0.46,1,0
0.382,0,1
0.454000000000058,0,1
-0.435,1,0
-0.350000000000058,0,1
-0.483000000000058,1,0
0,0,1
0.357,1,0
0.429000000000058,0,1
0.428,0,1
0.419,0,1
0,1,0
0,0,1
0.394,0,1
-0.462,1,0
0.373,1,0
0.365000000000058,0,1
0,1,0
-0.313,1,0
-0.357,1,0
0.338,0,1
-0.4,1,0
-0.35,1,0
0.476,0,1
-0.436,1,0
0.447,0,1
0.41,0,1
0.356000000000058,0,1
-0.418,1,0
0.43,0,1
0.447000000000058,0,1
-0.393,1,0
-0.335,1,0
0.306,1,0
-0.435,1,0
-0.46,1,0
0,0,1
0.367,0,1
-0.459,1,0
-0.364,1,0
0.357,0,1
0.394,0,1
-0.49,1,0
0.427000000000058,0,1
0.428,0,1
0.4,0,1
-0.448,1,0
0.34,0,1
0.464,0,1
0.423,0,1
-0.422,1,0
-0.419,1,0
-0.399,1,0
-0.31,0,1
-0.449,1,0
0,1,0
-0.369,1,0
-0.374000000000058,1,0
-0.424,1,0
0,0,1
0.452,0,1
0.446,0,1
0.417,0,1
0.497000000000058,0,1
-0.367,1,0
0.482,0,1
0.429,0,1
0.348,0,1
0,1,0
-0.393,1,0
-0.397,1,0
-0.427,1,0
-0.419,1,0
0,0,1
0.421,0,1
0.479,0,1
-0.332000000000058,1,0
-0.444,0,1
0.406,0,1
-0.445,1,0
-0.482000000000058,1,0
-0.4,1,0
0,1,0
0.467,0,1
0,1,0
0,0,1
-0.361,1,0
-0.35,1,0
-0.259,0,1
0.38,0,1
-0.369999999999942,1,0
-0.438000000000058,1,0
-0.386,0,1
0.417999999999942,0,1
-0.356,0,1
0.388,0,1
-0.414,1,0
0,1,0
0.49,0,1
-0.421,1,0
-0.398,1,0
-0.416,1,0
0,0,1
0.353,0,1
0.392,0,1
-0.391,1,0
-0.424,1,0
-0.214000000000116,1,0
0,1,0
0.443,0,1
0.459,0,1
0.348,0,1
0.456,0,1
0.399,0,1
0.267,1,0
-0.371,0,1
-0.406,1,0
-0.414,1,0
0,0,1
-0.479,1,0
-0.386,1,0
-0.363,1,0
0,0,1
-0.478,1,0
-0.487,1,0
0.429,0,1
0,1,0
0,0,1
0.476,0,1
0.426,0,1
-0.444,1,0
0,0,1
0.417,0,1
0.339,0,1
-0.498,1,0
0,1,0
0,1,0
0.399,0,1
-0.353,1,0
0,1,0
0,0,1
-0.394,1,0
0.405,0,1
-0.373,1,0
0.348,0,1
-0.359000000000116,0,1
-0.429,1,0
0.458000000000116,0,1
-0.377,1,0
0.392,0,1
0.365,0,1
-0.43,1,0
0.394000000000116,0,1
-0.384,1,0
0.375,0,1
0.411000000000116,0,1
0.355,0,1
0.438,1,0
0,0,1
-0.432,1,0
0,0,1
0.421,0,1
-0.452,1,0
0.348,0,1
0.435,0,1
-0.394,1,0
-0.384,1,0
-0.332,1,0
-0.333,1,0
-0.342000000000116,1,0
0.431000000000116,0,1
0.403,0,1
-0.498,1,0
-0.396,1,0
0.487,0,1
0.377,0,1
0,0,1
-0.419,1,0
-0.36,1,0
-0.44,1,0
0.455,0,1
0.369,0,1
-0.415,1,0
0.371,0,1
0.318,0,1
-0.455,1,0
0.402,0,1
-0.413,1,0
0.375,1,0
-0.421,1,0
0,0,1
-0.448,1,0
0.477,0,1
0.369,0,1
-0.361,1,0
-0.42,1,0
0.291,0,1
0.34,1,0
0.377,0,1
0.387,0,1
-0.438,1,0
-0.422,1,0
0.495,0,1
0.406,0,1
-0.464000000000116,1,0
-0.362,1,0
0.338,0,1
0.442,0,1
0.452,0,1
-0.394,1,0
0.298,0,1
-0.313,0,1
-0.397,1,0
0.477,1,0
-0.39,1,0
0,0,1
-0.459,1,0
0.464,0,1
0,0,1
0,1,0
0.354,1,0
0.369,0,1
-0.387,1,0
0,0,1
-0.338,1,0
0.362,1,0
0.395000000000116,0,1
-0.396000000000116,1,0
0,0,1
0.468,0,1
-0.232,1,0
-0.403,0,1
-0.362,1,0
-0.449,1,0
-0.345,0,1
-0.430000000000116,1,0
0.321,0,1
-0.405,0,1
0,1,0
0.439,0,1
0.398,0,1
0,1,0
-0.362,1,0
0.391,0,1
0.332,0,1
0.427,0,1
-0.468,1,0
0.47,0,1
0.314,1,0
0,1,0
-0.404000000000116,1,0
-0.389000000000116,1,0
0.421,0,1
0.429,0,1
0.417,0,1
-0.36,1,0
-0.468,1,0
0.495,0,1
-0.446,1,0
-0.373,1,0
0,0,1
-0.36,1,0
0.36,1,0
0.399,1,0
0,1,0
0.384,0,1
-0.471,1,0
0.454,0,1
0.409,0,1
0.446,0,1
0,0,1
-0.485,1,0
-0.369,1,0
-0.427,1,0
0.38,0,1
0,1,0
0.479,0,1
-0.477,0,1
0.344,0,1
0.386,0,1
0.385,0,1
0.46,0,1
0,1,0
0.475,0,1
0,0,1
-0.438,1,0
-0.373,1,0
0.457,0,1
0,0,1
-0.41,0,1
-0.417,1,0
-0.486,1,0
-0.376,1,0
0.483,0,1
-0.462000000000116,1,0
0.49,1,0
-0.497,1,0
-0.379,1,0
0.326,0,1
0.395000000000116,0,1
0.402000000000116,0,1
0,1,0
-0.347,1,0
-0.377000000000116,1,0
0.419000000000116,0,1
0,0,1
0,0,1
0.391,0,1
0,1,0
0,1,0
-0.437,1,0
-0.339,1,0
0.341,0,1
0.411,0,1
-0.421,1,0
-0.405,0,1
-0.358,1,0
0.435,0,1
-0.466,1,0
0.4,1,0
0,1,0
-0.377,1,0
-0.366000000000116,1,0
0.394,0,1
0.395,0,1
0.338,0,1
0.440000000000116,0,1
-0.462,1,0
0.405,0,1
0,1,0
0,0,1
0,1,0
0.462,0,1
-0.413,0,1
0.452,0,1
0.386,0,1
-0.444,1,0
0.46,0,1
0.471,0,1
0,1,0
-0.275,1,0
0,1,0
-0.499,1,0
0.393000000000116,0,1
0,1,0
0,0,1
0,1,0
0,0,1
-0.391,0,1
0,1,0
0.395999999999884,1,0
