t0,st0,zr,v0,v1,a,alpha,szr,sv,file,pp,condition
0.49432603,0.23178652,0.6111748,-0.44627145,2.192114,0.5367851,1.6483259,0.21305694,0.6601363,file26_explicitDeadline.csv,26,explicitDeadline
0.52590823,0.3406629,0.44094825,-1.3510662,1.9810082,0.45845962,1.7060798,0.20036198,1.2886688,file48_explicitDeadline.csv,48,explicitDeadline
0.5409687,0.2870984,0.55525243,-1.3041745,1.9814343,1.1375463,1.827493,0.1987536,1.18186,file382_control.csv,382,control
0.54354066,0.29732102,0.416836,-0.91078204,1.6039121,1.2443421,1.7962093,0.20868221,0.7645508,file191_control.csv,191,control
0.6408331,0.4286014,0.5408599,-0.9047747,1.1423753,1.8715007,1.8842131,0.2056881,0.38349834,file222_control.csv,222,control
0.5727025,0.31516033,0.4483959,-1.2715331,2.4828124,0.47978932,1.5416337,0.19522206,1.2468221,file243_explicitDeadline.csv,243,explicitDeadline
0.5190232,0.2539779,0.6035102,-2.2662563,1.9566638,0.5378101,1.7449957,0.1962361,1.253402,file151_explicitDeadline.csv,151,explicitDeadline
0.49574947,0.21160866,0.6872234,-1.9213724,1.3112882,0.5339123,1.6901608,0.20642208,1.0117023,file321_explicitDeadline.csv,321,explicitDeadline
0.49833524,0.1756164,0.39376202,-0.76252794,2.0936346,1.4046506,1.9144484,0.2024876,0.6229073,file23_control.csv,23,control
0.5182021,0.25946897,0.28882614,-0.4445207,2.1549675,0.56017387,1.7884368,0.20896445,1.2707028,file27_explicitDeadline.csv,27,explicitDeadline
0.49764976,0.30008495,0.402478,-0.51153976,2.636792,0.9754717,1.735074,0.19665007,1.0574175,file204_control.csv,204,control
0.52872694,0.30130202,0.4237852,-1.4391077,1.7607543,0.5116588,1.7852949,0.20953682,0.8714699,file283_explicitDeadline.csv,283,explicitDeadline
0.4869663,0.22607337,0.439086,-1.039904,2.8454669,0.54103327,1.6901516,0.20276366,0.6365599,file198_explicitDeadline.csv,198,explicitDeadline
0.3687693,0.21956766,0.5266352,-1.8167642,0.9029839,0.5468352,1.7248305,0.20683886,1.0375009,file227_explicitDeadline.csv,227,explicitDeadline
0.55018055,0.28675014,0.3644188,-0.9278749,2.2269676,0.6017996,1.7420826,0.20640391,1.0791937,file348_control.csv,348,control
0.5801515,0.25480133,0.32063523,-1.1394323,1.5885816,2.114723,1.7976569,0.21174668,0.9574916,file63_control.csv,63,control
0.5358748,0.28001413,0.72492594,-0.9274794,1.4996448,0.53416467,1.7201594,0.2038242,1.3805296,file161_explicitDeadline.csv,161,explicitDeadline
0.6401609,0.3799201,0.6249045,-1.6378608,1.0033306,1.2048364,1.8803328,0.2005812,1.2610577,file357_control.csv,357,control
0.39267772,0.2865838,0.4017011,-1.3495266,1.4726834,0.69539696,1.7173219,0.20215702,1.2145947,file233_control.csv,233,control
0.51699734,0.20398453,0.5046293,-2.035391,2.191228,0.5158384,1.765632,0.1982089,0.99424016,file377_explicitDeadline.csv,377,explicitDeadline
0.45785338,0.30579722,0.647652,-1.6522199,1.4585742,0.5445395,1.7851623,0.2060647,1.2426391,file276_explicitDeadline.csv,276,explicitDeadline
0.54350185,0.1946112,0.48667333,-1.9274111,2.8337452,0.5539079,1.7880734,0.18584912,1.2673565,file160_explicitDeadline.csv,160,explicitDeadline
0.5122682,0.24020159,0.4429715,-2.28789,1.868935,0.48180914,1.698733,0.19694453,1.4646138,file132_explicitDeadline.csv,132,explicitDeadline
0.46638906,0.22656909,0.63342756,-1.7449088,2.093061,0.5439025,1.7096394,0.201384,0.77885544,file9_explicitDeadline.csv,9,explicitDeadline
0.49096876,0.19887707,0.49445248,-0.8872994,1.6766496,0.7814316,1.6347716,0.20437647,0.98187596,file177_control.csv,177,control
0.5687606,0.26352328,0.50222546,-0.72911745,1.672468,1.7415365,1.826074,0.20411927,0.87377864,file144_control.csv,144,control
0.5392784,0.34008998,0.3283805,-0.90801585,2.2444978,0.43491662,1.6024474,0.19721454,0.84262824,file273_explicitDeadline.csv,273,explicitDeadline
0.41085854,0.2525071,0.34352908,-0.2817991,1.9650279,0.55746526,1.683874,0.20535767,1.2129797,file247_explicitDeadline.csv,247,explicitDeadline
0.42085806,0.13903736,0.50129247,-0.8937591,2.507088,0.8111918,1.8277893,0.19308512,1.1721847,file28_control.csv,28,control
0.43621352,0.2721662,0.3946857,-1.5982852,2.0590549,0.75926954,1.8105482,0.20340873,0.95807654,file58_control.csv,58,control
0.46973023,0.2563279,0.39363295,-0.77808136,1.6188005,0.47269142,1.7571906,0.2081669,0.94123614,file194_explicitDeadline.csv,194,explicitDeadline
0.483994,0.23118614,0.45804605,-2.2022748,1.9032512,1.1042111,1.84514,0.19427602,1.1825755,file306_control.csv,306,control
0.4590278,0.2695298,0.60309523,-2.2451732,1.8849471,0.70239943,1.8144332,0.19322577,1.2083584,file190_control.csv,190,control
0.36549863,0.2940641,0.46203095,-0.23817143,1.108066,0.53359854,1.777742,0.21096885,0.9444672,file368_explicitDeadline.csv,368,explicitDeadline
0.5603452,0.3270593,0.45884588,-1.9260801,1.5554218,1.2101411,1.8390951,0.19802545,0.9744416,file270_control.csv,270,control
0.48601222,0.2762548,0.47071475,-1.3884572,2.732885,0.56338763,1.6880584,0.2000072,0.833129,file374_explicitDeadline.csv,374,explicitDeadline
0.45014584,0.28384566,0.4412555,-2.0281131,2.0063703,0.5471737,1.6635932,0.19782934,1.3249643,file385_explicitDeadline.csv,385,explicitDeadline
0.51972556,0.30447975,0.39184612,-1.0217314,2.292744,0.5072806,1.7446008,0.20094402,1.2079502,file189_explicitDeadline.csv,189,explicitDeadline
0.61245114,0.31945434,0.50339407,-0.93463075,1.8958694,0.9020849,1.7916412,0.20823188,0.8078772,file381_control.csv,381,control
0.5201687,0.32904416,0.44508505,-1.1206572,2.146114,0.44930688,1.7077839,0.20434889,0.9938272,file246_explicitDeadline.csv,246,explicitDeadline
0.58789015,0.48391157,0.36411276,-0.4069775,2.1017098,1.5482706,1.712143,0.19387388,0.8575579,file253_control.csv,253,control
0.52071095,0.32459575,0.6233924,-1.8761384,0.9253164,0.4466627,1.7522633,0.20772137,1.0209199,file334_explicitDeadline.csv,334,explicitDeadline
