t0,st0,zr,v0,v1,a,alpha,szr,sv,file,pp,condition
0.42198774,0.19259734,0.5266575,-1.6642721,2.3806121,1.3947545,1.8844438,0.1878204,1.0465177,file205_control.csv,205,control
0.47460312,0.1997068,0.4762632,-1.1505334,1.8387004,0.9277498,1.7921451,0.20401281,1.098342,file216_control.csv,216,control
0.4992814,0.30391216,0.41817853,-0.9455464,1.5152524,0.52379835,1.7467791,0.2020437,1.332439,file166_explicitDeadline.csv,166,explicitDeadline
0.50014675,0.27477664,0.6223793,-1.4807894,1.6907017,0.5376901,1.711774,0.21319224,0.5497604,file202_explicitDeadline.csv,202,explicitDeadline
0.4893732,0.22925332,0.390005,-1.5107657,2.5992327,0.49878642,1.6377105,0.19486015,1.5263499,file326_explicitDeadline.csv,326,explicitDeadline
0.45535463,0.33395043,0.43617475,-0.43890777,1.5682847,0.58623374,1.7852352,0.21081796,0.771303,file29_explicitDeadline.csv,29,explicitDeadline
0.45541376,0.1863875,0.5070012,-1.6827254,2.1260183,1.3442844,1.879263,0.18822527,1.5061294,file18_control.csv,18,control
0.5113435,0.24597883,0.42299044,-1.6277791,2.5983908,0.8658668,1.774817,0.19825101,0.7963199,file344_control.csv,344,control
0.52293545,0.27895424,0.57113063,-1.0931432,1.986202,0.51737726,1.7251045,0.2110408,0.6445719,file271_explicitDeadline.csv,271,explicitDeadline
0.52241075,0.22899057,0.4250248,-0.9417718,2.458175,0.50581294,1.6875147,0.205429,0.7575667,file79_explicitDeadline.csv,79,explicitDeadline
0.5166639,0.19087255,0.48076436,-1.0419018,2.0494232,2.0518286,1.8200274,0.18121427,2.2121878,file208_control.csv,208,control
0.49222735,0.32692632,0.43544483,-1.2165899,1.3890316,0.47327167,1.7245191,0.20335259,1.1538897,file74_explicitDeadline.csv,74,explicitDeadline
0.6302443,0.33232757,0.49137387,-1.278697,1.8219548,0.6377686,1.6364428,0.20341942,0.9367626,file299_control.csv,299,control
0.5823852,0.18471585,0.42902482,-0.65697366,1.6852447,1.7990108,1.9137152,0.19778527,0.78342366,file274_control.csv,274,control
0.5471181,0.29628664,0.47722247,-1.1672506,2.160215,0.71917254,1.619889,0.19962099,1.3010583,file309_control.csv,309,control
0.54803294,0.3347131,0.44957617,-1.334434,1.5023046,1.0707237,1.877077,0.20351705,0.8021715,file228_control.csv,228,control
0.55344945,0.23253147,0.42556143,-0.92886007,2.0714355,1.310503,1.7883207,0.2046375,0.70293623,file113_control.csv,113,control
0.48454833,0.2687168,0.43401188,-0.620826,1.9485503,1.836318,1.8821576,0.19790806,1.0909718,file116_control.csv,116,control
0.5084088,0.27523604,0.44880322,-1.3367971,1.8683574,0.5675072,1.7670565,0.20291314,1.0092192,file46_explicitDeadline.csv,46,explicitDeadline
0.5238397,0.19695684,0.58347684,-0.7687207,1.7940695,1.4951473,1.8519418,0.20065778,1.1378878,file311_control.csv,311,control
0.4212748,0.19586489,0.40373263,-0.93769395,2.1315608,1.5944911,1.8208901,0.19338702,1.5652949,file181_control.csv,181,control
0.41195795,0.100076266,0.58084977,-0.59447885,1.3656849,3.20017,1.9006953,0.22998028,1.2788256,file80_control.csv,80,control
0.5382775,0.28505275,0.40471533,-0.78167385,2.0606112,0.54155797,1.6783396,0.20713168,0.78271586,file192_explicitDeadline.csv,192,explicitDeadline
0.6122079,0.41270265,0.38053244,-1.1565901,2.2657855,1.1378392,1.7826436,0.19940604,0.99649864,file300_control.csv,300,control
0.48615223,0.21403374,0.30211163,-2.559963,2.2619815,0.63040364,1.818296,0.20147258,0.5658561,file185_explicitDeadline.csv,185,explicitDeadline
0.4810912,0.24843174,0.44039106,-1.3797646,1.9041232,1.3356187,1.8641453,0.19562547,1.2226843,file121_control.csv,121,control
0.42015982,0.23989838,0.43702993,-0.27867675,2.4369397,0.54524326,1.568843,0.19957739,0.94234765,file145_control.csv,145,control
0.53928006,0.15913172,0.4797745,-0.7829372,1.9925011,1.5588046,1.9175643,0.18895839,1.1113118,file257_control.csv,257,control
0.47552997,0.23758328,0.4462603,-1.0666945,1.614176,0.53265303,1.7629981,0.20285176,1.2016468,file280_explicitDeadline.csv,280,explicitDeadline
0.51034397,0.24867974,0.58645964,-1.8624158,2.0456026,0.514613,1.6920283,0.19512948,1.4858139,file378_explicitDeadline.csv,378,explicitDeadline
0.44948593,0.2037451,0.5584424,-0.7943424,2.6568727,0.559961,1.7604071,0.19738655,0.81879556,file240_explicitDeadline.csv,240,explicitDeadline
0.47242138,0.27611947,0.56086487,-1.0219276,1.6455767,0.5511474,1.7671305,0.20773748,0.86951613,file331_explicitDeadline.csv,331,explicitDeadline
0.42164713,0.19414961,0.44913697,-0.7495272,2.4121876,0.48170546,1.6580006,0.20905589,0.57069546,file327_explicitDeadline.csv,327,explicitDeadline
0.4275056,0.25923446,0.6740818,-1.046158,1.3327317,0.56031716,1.8104521,0.20872673,1.0119112,file56_explicitDeadline.csv,56,explicitDeadline
0.54677737,0.23022886,0.5156065,-1.7082831,1.4624896,1.3188511,1.8397965,0.19388816,1.5017486,file62_control.csv,62,control
0.4691162,0.23239578,0.56162214,-1.5992833,1.6885891,0.98344874,1.8178184,0.20241664,0.99300325,file183_control.csv,183,control
0.47322085,0.2804331,0.43031615,-0.33711416,1.6170032,0.40557736,1.7619416,0.21101621,0.93008703,file236_explicitDeadline.csv,236,explicitDeadline
