DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition
0.0022311397,0.81858015,0.002250622,0.17693807,file79_acc.csv,79,acc
0.014120114,0.63492906,0.0072414083,0.34370935,file313_acc.csv,313,acc
0.0021338882,0.8784181,0.002442399,0.11700568,file246_implicitDeadline.csv,246,implicitDeadline
0.002820368,0.90797305,0.002918428,0.08628815,file270_implicitDeadline.csv,270,implicitDeadline
0.0020504957,0.82085323,0.0022893983,0.17480683,file35_implicitDeadline.csv,35,implicitDeadline
0.003223321,0.89644486,0.0032994421,0.09703233,file213_implicitDeadline.csv,213,implicitDeadline
0.017891906,0.9460744,0.008350995,0.02768269,file233_explicitDeadline.csv,233,explicitDeadline
0.0028761963,0.95298463,0.002929163,0.0412101,file269_implicitDeadline.csv,269,implicitDeadline
0.005209562,0.9592165,0.003846976,0.03172694,file34_explicitDeadline.csv,34,explicitDeadline
0.009976119,0.95771,0.006009659,0.026304143,file278_explicitDeadline.csv,278,explicitDeadline
0.4670433,0.23026375,0.18525684,0.1174361,file11_acc.csv,11,acc
0.0026571997,0.9457927,0.0026495855,0.04890057,file65_implicitDeadline.csv,65,implicitDeadline
0.008313458,0.8521928,0.0049271025,0.13456662,file170_implicitDeadline.csv,170,implicitDeadline
0.0028865198,0.895017,0.0027012355,0.09939522,file315_explicitDeadline.csv,315,explicitDeadline
0.00528838,0.90455747,0.0051650647,0.08498914,file77_implicitDeadline.csv,77,implicitDeadline
0.018554213,0.9462951,0.008143926,0.027006727,file298_explicitDeadline.csv,298,explicitDeadline
0.0025435986,0.5791068,0.0025130347,0.41583666,file86_acc.csv,86,acc
0.0077635064,0.6307005,0.0054463446,0.35608965,file3_implicitDeadline.csv,3,implicitDeadline
0.0030561597,0.9478614,0.0026630687,0.04641946,file95_explicitDeadline.csv,95,explicitDeadline
0.0026483054,0.86594605,0.0024347082,0.12897101,file268_implicitDeadline.csv,268,implicitDeadline
0.002494344,0.8721452,0.002511323,0.12284915,file92_implicitDeadline.csv,92,implicitDeadline
0.0028039976,0.960154,0.002868336,0.034173608,file169_explicitDeadline.csv,169,explicitDeadline
0.0024907815,0.94210124,0.002802133,0.052605875,file177_explicitDeadline.csv,177,explicitDeadline
0.0030295542,0.9461713,0.003273646,0.047525585,file113_implicitDeadline.csv,113,implicitDeadline
0.009630811,0.9618356,0.005702632,0.022830985,file178_implicitDeadline.csv,178,implicitDeadline
0.01047434,0.9348556,0.00806304,0.04660698,file70_explicitDeadline.csv,70,explicitDeadline
0.002707583,0.95381474,0.0027659927,0.04071163,file316_implicitDeadline.csv,316,implicitDeadline
0.0033816937,0.96442133,0.003082565,0.029114364,file89_explicitDeadline.csv,89,explicitDeadline
0.01415562,0.106530726,0.026981443,0.8523322,file273_acc.csv,273,acc
0.0026689565,0.95752263,0.0026886826,0.037119675,file87_implicitDeadline.csv,87,implicitDeadline
0.11591692,0.67158145,0.033417683,0.17908393,file114_acc.csv,114,acc
0.0021226595,0.86252344,0.002447708,0.13290617,file146_implicitDeadline.csv,146,implicitDeadline
0.006619766,0.7457234,0.004451294,0.24320547,file237_acc.csv,237,acc
0.0020447145,0.8789438,0.002503065,0.11650844,file83_implicitDeadline.csv,83,implicitDeadline
0.007378425,0.97086316,0.004258084,0.017500283,file272_explicitDeadline.csv,272,explicitDeadline
0.016271463,0.960822,0.005927457,0.01697912,file195_explicitDeadline.csv,195,explicitDeadline
0.0023230996,0.5119689,0.0024387555,0.48326927,file264_acc.csv,264,acc
0.0037784642,0.31716117,0.0036720266,0.6753884,file63_acc.csv,63,acc
