DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition
0.0021831763,0.40554795,0.0020261807,0.59024274,file10_explicitDeadline.csv,10,explicitDeadline
0.003088046,0.90213794,0.0037627902,0.09101131,file155_explicitDeadline.csv,155,explicitDeadline
0.005780439,0.897329,0.00544394,0.09144671,file9_explicitDeadline.csv,9,explicitDeadline
0.002069393,0.79046184,0.0020823719,0.2053864,file182_explicitDeadline.csv,182,explicitDeadline
0.0024536836,0.93935794,0.0031588103,0.055029526,file45_explicitDeadline.csv,45,explicitDeadline
0.002738953,0.526381,0.002551017,0.46832904,file43_explicitDeadline.csv,43,explicitDeadline
0.007792588,0.7424582,0.007235162,0.24251398,file314_explicitDeadline.csv,314,explicitDeadline
0.002834884,0.8292903,0.0023858359,0.16548896,file234_explicitDeadline.csv,234,explicitDeadline
0.001853622,0.9256968,0.0022222656,0.07022739,file230_explicitDeadline.csv,230,explicitDeadline
0.0036640593,0.7073937,0.0036569901,0.2852852,file165_explicitDeadline.csv,165,explicitDeadline
0.006480832,0.8037565,0.005980939,0.18378176,file154_explicitDeadline.csv,154,explicitDeadline
0.0023505602,0.74833274,0.002315425,0.24700134,file164_explicitDeadline.csv,164,explicitDeadline
0.0033480523,0.8757274,0.0027204107,0.118204094,file168_explicitDeadline.csv,168,explicitDeadline
0.0060212705,0.8956258,0.006572437,0.091780454,file99_explicitDeadline.csv,99,explicitDeadline
0.077930555,0.69035137,0.052359704,0.17935836,file50_explicitDeadline.csv,50,explicitDeadline
0.0017246646,0.97226113,0.0020572082,0.023956988,file301_explicitDeadline.csv,301,explicitDeadline
0.0066799335,0.77027106,0.0065730573,0.21647587,file299_explicitDeadline.csv,299,explicitDeadline
0.031734284,0.1794811,0.04192118,0.7468634,file59_explicitDeadline.csv,59,explicitDeadline
0.0024034558,0.8125222,0.0022060862,0.18286827,file228_explicitDeadline.csv,228,explicitDeadline
0.0024208385,0.8430737,0.0021455826,0.15235987,file250_explicitDeadline.csv,250,explicitDeadline
0.002299692,0.8754746,0.0022605134,0.11996526,file243_explicitDeadline.csv,243,explicitDeadline
0.0017888936,0.97110873,0.0019465664,0.025155766,file128_explicitDeadline.csv,128,explicitDeadline
0.0033758339,0.8751998,0.0028990207,0.118525326,file242_explicitDeadline.csv,242,explicitDeadline
0.0022676066,0.9480245,0.003259703,0.04644814,file61_explicitDeadline.csv,61,explicitDeadline
0.0048454986,0.26957712,0.006018738,0.7195587,file57_explicitDeadline.csv,57,explicitDeadline
0.010627772,0.459834,0.015397007,0.5141412,file295_explicitDeadline.csv,295,explicitDeadline
0.025066659,0.4080696,0.01628025,0.55058354,file153_explicitDeadline.csv,153,explicitDeadline
0.017257426,0.54898125,0.013754215,0.4200071,file307_explicitDeadline.csv,307,explicitDeadline
0.18134142,0.3924528,0.18930286,0.23690291,file211_explicitDeadline.csv,211,explicitDeadline
0.0030830624,0.9139815,0.002576392,0.08035901,file40_explicitDeadline.csv,40,explicitDeadline
0.0020614937,0.6092506,0.0019173798,0.38677058,file48_explicitDeadline.csv,48,explicitDeadline
0.2399802,0.2086267,0.1484048,0.40298823,file124_explicitDeadline.csv,124,explicitDeadline
0.0064383103,0.7523643,0.0045740423,0.23662339,file184_explicitDeadline.csv,184,explicitDeadline
0.002824763,0.83525324,0.0024232725,0.15949869,file125_explicitDeadline.csv,125,explicitDeadline
0.005609572,0.86507404,0.0047979844,0.12451842,file238_explicitDeadline.csv,238,explicitDeadline
0.013608696,0.68881583,0.013500249,0.2840752,file289_explicitDeadline.csv,289,explicitDeadline
0.0025667693,0.5452783,0.0024359133,0.44971904,file218_explicitDeadline.csv,218,explicitDeadline
0.0017725319,0.46957105,0.0014863728,0.52717006,file7_explicitDeadline.csv,7,explicitDeadline
