DM_st0,LFM_st0,DM_all,LFM_all,file,pp,condition
0.0022446662,0.17812368,0.0037400115,0.8158917,file117_explicitDeadline.csv,117,explicitDeadline
0.0002478884,0.98551315,0.008045353,0.006193645,file254_explicitDeadline.csv,254,explicitDeadline
0.30268127,0.35968056,0.16862512,0.16901311,file100_explicitDeadline.csv,100,explicitDeadline
0.0026556503,0.88575345,0.0027503874,0.10884057,file6_explicitDeadline.csv,6,explicitDeadline
0.007545327,0.42391807,0.009161105,0.55937546,file266_explicitDeadline.csv,266,explicitDeadline
0.001961613,0.23667584,0.001991064,0.75937146,file75_explicitDeadline.csv,75,explicitDeadline
0.10461409,0.20087525,0.120898284,0.57361245,file224_explicitDeadline.csv,224,explicitDeadline
0.0013252248,0.9423578,0.0014587999,0.054858167,file151_explicitDeadline.csv,151,explicitDeadline
0.0018333081,0.7962329,0.0020124598,0.1999213,file133_explicitDeadline.csv,133,explicitDeadline
0.0018272537,0.9458325,0.0018806958,0.050459594,file112_explicitDeadline.csv,112,explicitDeadline
0.0050944653,0.041115426,0.006600503,0.9471896,file310_explicitDeadline.csv,310,explicitDeadline
0.04808119,0.47857583,0.049267426,0.42407554,file240_explicitDeadline.csv,240,explicitDeadline
0.05768078,0.44864917,0.029735988,0.46393412,file17_explicitDeadline.csv,17,explicitDeadline
0.0037723575,0.9634366,0.0110310335,0.021759937,file134_explicitDeadline.csv,134,explicitDeadline
0.041389894,0.33083433,0.02652135,0.6012544,file198_explicitDeadline.csv,198,explicitDeadline
0.74334425,0.048666507,0.19004299,0.017946256,file20_explicitDeadline.csv,20,explicitDeadline
0.002247418,0.012981493,0.0020675596,0.98270357,file103_explicitDeadline.csv,103,explicitDeadline
0.0022145903,0.5310832,0.0022868563,0.46441528,file108_explicitDeadline.csv,108,explicitDeadline
0.019992257,0.8821321,0.01599478,0.08188082,file132_explicitDeadline.csv,132,explicitDeadline
0.004548161,0.2923337,0.0059615267,0.69715667,file257_explicitDeadline.csv,257,explicitDeadline
0.023724914,0.5262258,0.024978437,0.42507085,file277_explicitDeadline.csv,277,explicitDeadline
0.0032020211,0.022282636,0.0023492062,0.9721662,file285_explicitDeadline.csv,285,explicitDeadline
