t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.29052615,0.15378495,0.6180379,-3.0310442,2.4992604,0.6718892,0.5003691,file24_explicitDeadline.csv,24,explicitDeadline
0.2690554,0.18496971,0.5620704,-1.5340683,1.9218539,0.6722127,0.14571896,file233_explicitDeadline.csv,233,explicitDeadline
0.32378495,0.12385699,0.42302608,-2.8631349,4.1621103,0.5549007,0.019093854,file34_explicitDeadline.csv,34,explicitDeadline
0.31689924,0.15881024,0.43136773,-2.9602346,2.9370928,0.6714288,0.04705218,file278_explicitDeadline.csv,278,explicitDeadline
0.3229421,0.07559326,0.5648595,-4.1161165,3.634527,0.58228,-5.617829e-05,file315_explicitDeadline.csv,315,explicitDeadline
0.3359813,0.15558794,0.5267304,-2.3094583,2.0571563,0.5804974,0.09193754,file298_explicitDeadline.csv,298,explicitDeadline
0.293806,0.11897247,0.38106534,-3.3077028,4.515759,0.6400956,0.2465498,file95_explicitDeadline.csv,95,explicitDeadline
0.28791234,0.1447711,0.45742798,-3.1552365,3.6655712,0.58770627,0.23250769,file169_explicitDeadline.csv,169,explicitDeadline
0.30545843,0.10059256,0.47429144,-3.0247214,3.7334836,0.66405237,0.0013514274,file177_explicitDeadline.csv,177,explicitDeadline
0.34743217,0.13058357,0.44869125,-2.0878413,2.1859894,0.64261824,-0.033320293,file70_explicitDeadline.csv,70,explicitDeadline
0.25311545,0.1382742,0.42398417,-2.9024062,2.5898716,0.6413986,0.13724256,file89_explicitDeadline.csv,89,explicitDeadline
0.27656373,0.17345123,0.44093657,-3.5603106,3.2060826,0.92451173,0.8011001,file272_explicitDeadline.csv,272,explicitDeadline
0.30121246,0.18159914,0.43880504,-1.4037732,2.3000271,0.5771241,0.38194558,file195_explicitDeadline.csv,195,explicitDeadline
0.34521526,0.11652065,0.4658851,-3.5789552,4.7477984,0.548398,0.024501665,file189_explicitDeadline.csv,189,explicitDeadline
0.29844978,0.12987311,0.49609903,-3.4354417,3.3431199,0.54918015,0.15690747,file249_explicitDeadline.csv,249,explicitDeadline
0.2685009,0.121411644,0.44668382,-4.373579,3.9352913,0.75329405,0.2541247,file66_explicitDeadline.csv,66,explicitDeadline
0.28978917,0.16465338,0.5712757,-4.288395,3.0032427,0.75431424,0.22023492,file263_explicitDeadline.csv,263,explicitDeadline
0.29650924,0.12212161,0.599384,-3.785168,2.888697,0.66141546,0.054543853,file10_explicitDeadline.csv,10,explicitDeadline
0.31240773,0.14338303,0.36845583,-2.1217086,3.3001184,0.7561505,0.7817102,file155_explicitDeadline.csv,155,explicitDeadline
0.2266729,0.19621035,0.5528841,-1.3764186,1.1453396,0.73579013,0.78050363,file9_explicitDeadline.csv,9,explicitDeadline
0.3056742,0.11617514,0.4676809,-3.838502,4.73948,0.62484294,0.06421042,file182_explicitDeadline.csv,182,explicitDeadline
0.23061274,0.15428488,0.41679847,-1.5754689,2.4420626,0.60129935,0.81640184,file45_explicitDeadline.csv,45,explicitDeadline
0.2876572,0.14652024,0.44773954,-2.2641811,2.842141,0.6220834,0.032738145,file43_explicitDeadline.csv,43,explicitDeadline
0.25969937,0.16481243,0.5317063,-2.5594823,1.3145838,0.63652873,0.003981789,file314_explicitDeadline.csv,314,explicitDeadline
0.30252054,0.09304376,0.5776322,-3.9225,2.886472,0.55780494,0.07296291,file234_explicitDeadline.csv,234,explicitDeadline
0.28683484,0.18790554,0.45207262,-2.7561586,3.0358944,0.9044208,0.38118976,file230_explicitDeadline.csv,230,explicitDeadline
0.30355132,0.16715674,0.5312836,-3.077726,1.8832449,0.63399273,0.08561073,file165_explicitDeadline.csv,165,explicitDeadline
0.258159,0.15133083,0.48808414,-1.8941696,1.687783,0.5772417,0.15575732,file154_explicitDeadline.csv,154,explicitDeadline
0.30158615,0.12752856,0.43233854,-2.56302,3.5852964,0.6085555,0.068886675,file164_explicitDeadline.csv,164,explicitDeadline
0.28225446,0.14363459,0.43273237,-2.4176416,2.7265027,0.53527766,0.15510948,file168_explicitDeadline.csv,168,explicitDeadline
0.19870164,0.17409419,0.48172852,-1.1596587,1.2048873,0.75761116,0.7635066,file99_explicitDeadline.csv,99,explicitDeadline
0.27123585,0.14596744,0.439609,-1.5720752,2.304199,0.57672566,-0.009500012,file50_explicitDeadline.csv,50,explicitDeadline
0.2404262,0.12758055,0.5746194,-3.5544255,3.400822,0.5918311,0.8024394,file301_explicitDeadline.csv,301,explicitDeadline
0.2612536,0.18579885,0.40276825,-1.3892366,2.011288,0.7431708,0.1518032,file299_explicitDeadline.csv,299,explicitDeadline
0.31134066,0.0854713,0.4869541,-2.7941961,1.9904258,0.64878243,-0.003984275,file59_explicitDeadline.csv,59,explicitDeadline
0.2998544,0.1067415,0.4409498,-2.4305098,4.219425,0.5198483,0.047701716,file228_explicitDeadline.csv,228,explicitDeadline
0.30825368,0.122599624,0.5119195,-3.090547,2.855957,0.59107536,0.06908601,file250_explicitDeadline.csv,250,explicitDeadline
0.2739651,0.16762148,0.46556762,-2.3317854,2.6258974,0.72029716,0.4414768,file243_explicitDeadline.csv,243,explicitDeadline
0.29103053,0.14570096,0.54051626,-3.2482781,2.290594,0.62774247,0.76334405,file128_explicitDeadline.csv,128,explicitDeadline
0.2995014,0.15059544,0.5540723,-2.3878417,2.1560302,0.59534377,0.062231194,file242_explicitDeadline.csv,242,explicitDeadline
0.22993225,0.18312907,0.5043414,-1.8623649,1.6129782,0.66637874,0.9255836,file61_explicitDeadline.csv,61,explicitDeadline
0.32736918,0.1640314,0.5778027,-2.0187843,1.5562736,0.60894275,0.0790033,file57_explicitDeadline.csv,57,explicitDeadline
0.28067935,0.17311622,0.46859396,-1.580207,2.5706406,0.6420507,0.031834073,file295_explicitDeadline.csv,295,explicitDeadline
0.30175838,0.08428042,0.46800655,-3.5676668,3.9683988,0.6271499,-0.0049719987,file153_explicitDeadline.csv,153,explicitDeadline
0.3080245,0.070105545,0.45307437,-2.858534,2.6070125,0.6729666,-0.012344205,file307_explicitDeadline.csv,307,explicitDeadline
0.29240298,0.1697201,0.52954173,-1.3930132,0.80993736,0.6385363,0.034285113,file211_explicitDeadline.csv,211,explicitDeadline
0.20498432,0.19183785,0.4974981,-1.654942,1.2342469,0.78141713,0.2942196,file40_explicitDeadline.csv,40,explicitDeadline
0.32129937,0.09952504,0.57303226,-4.587158,3.7337987,0.65279806,0.013033664,file48_explicitDeadline.csv,48,explicitDeadline
0.2991001,0.06887034,0.43117362,-3.9570827,4.373664,0.70062685,-0.004081259,file124_explicitDeadline.csv,124,explicitDeadline
0.30185804,0.0879102,0.3936836,-3.217245,3.6628985,0.6991869,-0.02302297,file184_explicitDeadline.csv,184,explicitDeadline
0.28584886,0.15557374,0.4539528,-2.5799859,3.381027,0.6601907,0.16036226,file125_explicitDeadline.csv,125,explicitDeadline
0.26253355,0.16325915,0.47749737,-1.8063723,2.0849228,0.68267256,0.13608913,file238_explicitDeadline.csv,238,explicitDeadline
0.25856572,0.1918029,0.47731242,-1.4445993,1.515789,0.62722623,0.17849235,file289_explicitDeadline.csv,289,explicitDeadline
0.32240736,0.13087258,0.54896736,-4.3895288,3.6342235,0.5550271,-0.010779443,file218_explicitDeadline.csv,218,explicitDeadline
0.29868254,0.13697477,0.39735168,-2.9917243,3.467446,0.8417929,0.20825887,file7_explicitDeadline.csv,7,explicitDeadline
