t0,st0,zr,v0,v1,a,alpha,file,pp,condition
0.33327407,0.11312151,0.409318,-1.8735771,2.7060986,0.2543788,1.2450719,file108_explicitDeadline.csv,108,explicitDeadline
0.33006793,0.16446486,0.56249714,-2.826609,2.900065,1.8378594,1.6850674,file96_acc.csv,96,acc
0.30050996,0.16129942,0.6840231,-1.9323293,1.1641282,0.26356506,1.2614511,file132_explicitDeadline.csv,132,explicitDeadline
0.31190294,0.13920327,0.4703295,-2.1296623,2.3847675,0.31215894,1.3613034,file257_explicitDeadline.csv,257,explicitDeadline
0.29753092,0.040742137,0.49584213,-5.1220818,4.94734,1.2857336,1.6026394,file312_acc.csv,312,acc
0.2595438,0.15473612,0.58101594,-1.7454414,1.3968703,0.39808136,1.2448262,file98_implicitDeadline.csv,98,implicitDeadline
0.37151,0.11749308,0.47601953,-2.636409,2.8200858,0.4240768,1.5477993,file205_implicitDeadline.csv,205,implicitDeadline
0.31432694,0.08589093,0.4099516,-3.7227137,4.3480186,0.9079429,1.5684103,file284_acc.csv,284,acc
0.27804863,0.14063577,0.41908595,-1.4919282,1.9334142,0.33419523,1.2341716,file277_explicitDeadline.csv,277,explicitDeadline
0.3697275,0.11751447,0.49285176,-2.8126519,3.2450018,0.8536002,1.5781627,file214_acc.csv,214,acc
0.31169093,0.1749245,0.50845176,-2.0191052,1.9381418,0.608038,1.0467278,file16_implicitDeadline.csv,16,implicitDeadline
0.36450243,0.12958269,0.47502548,-4.286857,4.516144,0.8460354,1.6844734,file56_acc.csv,56,acc
0.30484244,0.1543065,0.4780455,-1.5044991,1.575408,0.40989244,1.2873777,file309_implicitDeadline.csv,309,implicitDeadline
0.32150412,0.13540849,0.44862226,-2.7388864,2.8061812,0.8022803,1.5208219,file150_acc.csv,150,acc
0.27817985,0.10338093,0.4657461,-2.6844735,2.8823328,0.5473683,1.02548,file285_explicitDeadline.csv,285,explicitDeadline
0.32931924,0.106023416,0.45540753,-3.2970593,2.9534419,0.55580294,1.3717538,file283_implicitDeadline.csv,283,implicitDeadline
